system,schedule,model,num_micro_batches,step,loss,tokens_per_sec
singlegpu,grad_ckpt,gpt2-xl,8,1,3.134587,0.0
singlegpu,grad_ckpt,gpt2-xl,8,2,2.953715,0.0
singlegpu,grad_ckpt,gpt2-xl,8,3,2.921205,0.0
singlegpu,grad_ckpt,gpt2-xl,8,4,2.899447,145.3
singlegpu,grad_ckpt,gpt2-xl,8,5,2.792219,143.5
singlegpu,grad_ckpt,gpt2-xl,8,6,2.891308,143.7
singlegpu,grad_ckpt,gpt2-xl,8,7,2.857755,143.7
singlegpu,grad_ckpt,gpt2-xl,8,8,2.823168,143.5
singlegpu,grad_ckpt,gpt2-xl,8,9,2.815113,143.3
singlegpu,grad_ckpt,gpt2-xl,8,10,2.800491,143.3
singlegpu,grad_ckpt,gpt2-xl,8,11,2.847084,143.5
singlegpu,grad_ckpt,gpt2-xl,8,12,2.795418,143.4
singlegpu,grad_ckpt,gpt2-xl,8,13,2.775086,143.4
singlegpu,grad_ckpt,gpt2-xl,8,14,2.803539,143.4
singlegpu,grad_ckpt,gpt2-xl,8,15,2.756478,143.4
singlegpu,grad_ckpt,gpt2-xl,8,16,2.752868,143.5
singlegpu,grad_ckpt,gpt2-xl,8,17,2.824132,143.4
singlegpu,grad_ckpt,gpt2-xl,8,18,2.731827,143.4
singlegpu,grad_ckpt,gpt2-xl,8,19,2.678607,143.4
singlegpu,grad_ckpt,gpt2-xl,8,20,2.721366,143.4
singlegpu,grad_ckpt,gpt2-xl,8,21,2.749536,143.4
singlegpu,grad_ckpt,gpt2-xl,8,22,2.740045,143.4
singlegpu,grad_ckpt,gpt2-xl,8,23,2.774659,143.4
singlegpu,grad_ckpt,gpt2-xl,8,24,2.717893,143.3
singlegpu,grad_ckpt,gpt2-xl,8,25,2.712775,143.3
singlegpu,grad_ckpt,gpt2-xl,8,26,2.711641,143.4
singlegpu,grad_ckpt,gpt2-xl,8,27,2.771361,143.3
singlegpu,grad_ckpt,gpt2-xl,8,28,2.722228,143.3
singlegpu,grad_ckpt,gpt2-xl,8,29,2.785264,143.3
singlegpu,grad_ckpt,gpt2-xl,8,30,2.715777,143.3
singlegpu,grad_ckpt,gpt2-xl,8,31,2.766700,143.3
singlegpu,grad_ckpt,gpt2-xl,8,32,2.796671,143.3
singlegpu,grad_ckpt,gpt2-xl,8,33,2.690310,143.3
singlegpu,grad_ckpt,gpt2-xl,8,34,2.705380,143.3
singlegpu,grad_ckpt,gpt2-xl,8,35,2.700716,143.3
singlegpu,grad_ckpt,gpt2-xl,8,36,2.715187,143.3
singlegpu,grad_ckpt,gpt2-xl,8,37,2.685509,143.3
singlegpu,grad_ckpt,gpt2-xl,8,38,2.717725,143.3
singlegpu,grad_ckpt,gpt2-xl,8,39,2.711163,143.3
singlegpu,grad_ckpt,gpt2-xl,8,40,2.750599,143.3
singlegpu,grad_ckpt,gpt2-xl,8,41,2.701372,143.3
singlegpu,grad_ckpt,gpt2-xl,8,42,2.654951,143.3
singlegpu,grad_ckpt,gpt2-xl,8,43,2.748883,143.3
singlegpu,grad_ckpt,gpt2-xl,8,44,2.805015,143.3
singlegpu,grad_ckpt,gpt2-xl,8,45,2.713976,143.3
singlegpu,grad_ckpt,gpt2-xl,8,46,2.709972,143.3
singlegpu,grad_ckpt,gpt2-xl,8,47,2.708469,143.3
singlegpu,grad_ckpt,gpt2-xl,8,48,2.691171,143.3
singlegpu,grad_ckpt,gpt2-xl,8,49,2.709190,143.3
singlegpu,grad_ckpt,gpt2-xl,8,50,2.625270,143.3
singlegpu,grad_ckpt,gpt2-xl,8,51,2.703745,143.3
singlegpu,grad_ckpt,gpt2-xl,8,52,2.744622,143.3
singlegpu,grad_ckpt,gpt2-xl,8,53,2.687972,143.3
singlegpu,grad_ckpt,gpt2-xl,8,54,2.684769,143.3
singlegpu,grad_ckpt,gpt2-xl,8,55,2.651116,143.3
singlegpu,grad_ckpt,gpt2-xl,8,56,2.696071,143.3
