system,schedule,num_micro_batches,tok_s,peak_gb,bubble,mfu
deepspeed,1f1b,1,689.4341246956304,11.004461288452148,0.5,0.0546243620922045
deepspeed,1f1b,2,1014.8115525206388,11.055749893188477,0.3333333333333333,0.080404249970528
deepspeed,1f1b,4,1352.95711996184,11.53575611114502,0.2,0.1071957667437029
deepspeed,1f1b,8,1666.2537324645702,11.53575611114502,0.1111111111111111,0.1320184829258552
deepspeed,1f1b,16,1869.1947208550555,11.53575611114502,0.0588235294117647,0.148097643553545
singlegpu,grad_ckpt,8,152.668068138216,12.202950477600098,0.0,0.0230588121443682
torchpp,1f1b,2,1281.4542420317678,6.924189567565918,0.3333333333333333,0.1015305422432312
torchpp,1f1b,4,1605.296279556516,8.371990203857422,0.2,0.127188780042584
torchpp,1f1b,8,1835.4142314715823,8.37759017944336,0.1111111111111111,0.1454211910577401
torchpp,1f1b,16,1958.684400121036,8.39053726196289,0.0588235294117647,0.1551879752743578
torchpp,gpipe,2,1219.2635888521488,7.25969934463501,0.3333333333333333,0.0966031320145397
torchpp,gpipe,4,1510.8494369383338,11.14552879333496,0.2,0.1197056887002187
torchpp,interleaved_1f1b,8,1836.8011344796,9.312799453735352,0.0555555555555555,0.1455310763816355
torchpp,interleaved_zb,8,1855.6402815391089,9.451189041137695,0.0555555555555555,0.1470237155673462
torchpp,zbv,8,1949.084624114846,9.268510818481444,0.0555555555555555,0.1544273781095486
